SubsiteID,FirstDocumented,Region,Complex,Subarea,Year,Date,Longitude,Latitude,complex_count
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,1973,1973-06-15,-123.550429,48.312856,1
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,1974,1974-08-15,-123.550429,48.312856,13
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,1976,1976-08-12,-123.550429,48.312856,35
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,1982,1982-08-16,-123.550429,48.312856,54
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,1986,1986-08-16,-123.550429,48.312856,94
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,1988,1988-08-26,-123.550429,48.312856,189
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,1990,1990-08-07,-123.550429,48.312856,174
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,1994,1994-08-21,-123.550429,48.312856,76
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,1996,1996-07-31,-123.550429,48.312856,412
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,1998,1998-09-06,-123.550429,48.312856,173
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,2000,2000-08-31,-123.550429,48.312856,90
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,2003,2003-08-29,-123.550429,48.312856,380
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,2008,2008-08-31,-123.550429,48.312856,145
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,2014,2014-08-12,-123.550429,48.312856,183
H0001,1973,Strait of Georgia,West Bentinck Island Reefs,Southern Gulf,2019,2019-08-15,-123.550429,48.312856,44
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,1973,1973-06-15,-123.5306,48.2984,158
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,1974,1974-08-15,-123.5306,48.2984,304
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,1976,1976-08-12,-123.5306,48.2984,195
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,1982,1982-08-16,-123.5306,48.2984,290
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,1986,1986-08-16,-123.5306,48.2984,432
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,1988,1988-08-26,-123.5306,48.2984,383
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,1990,1990-08-07,-123.5306,48.2984,617
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,1994,1994-08-21,-123.5306,48.2984,485
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,1996,1996-07-31,-123.5306,48.2984,858
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,1998,1998-09-06,-123.5306,48.2984,359
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,2000,2000-08-31,-123.5306,48.2984,387
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,2003,2003-08-29,-123.5306,48.2984,570
H0002,1973,Strait of Georgia,Race Rocks,Southern Gulf,2008,2008-08-31,-123.5306,48.2984,306
