Model time series of peak date for spring bloom.  Errorbars are plus or minus 5 days -- but note that the model appears to have missed in 2008 (data comparison
was 2002-2009, 2011-2015)

Year YearDay
1968 78
1969 85
1970 77
1971 91
1972 88
1973 82
1974 89
1975 100
1976 97
1977 96
1978 90
1979 81
1980 94
1981 78
1982 81
1983 82
1984 87
1985 76
1986 75
1987 87
1988 99
1989 76
1990 81
1991 78
1992 77
1993 55
1994 86
1995 86
1996 67
1997 87
1998 77
1999 104
2000 66
2001 70
2002 92
2003 86
2004 81
2005 62
2006 88
2007 100
2008 90
2009 97
2010 104
2011 102
2012 98
2013 88
2014 86
2015 77
2016 88
2017 104
2018 77
2019 77
2020 78
2021 91
2022 78
