"","Year","YearDay"
"1",1968,78
"2",1969,85
"3",1970,77
"4",1971,91
"5",1972,88
"6",1973,82
"7",1974,89
"8",1975,100
"9",1976,97
"10",1977,96
"11",1978,90
"12",1979,81
"13",1980,94
"14",1981,78
"15",1982,81
"16",1983,82
"17",1984,87
"18",1985,76
"19",1986,75
"20",1987,87
"21",1988,99
"22",1989,76
"23",1990,81
"24",1991,78
"25",1992,77
"26",1993,55
"27",1994,86
"28",1995,86
"29",1996,67
"30",1997,87
"31",1998,77
"32",1999,104
"33",2000,66
"34",2001,70
"35",2002,92
"36",2003,86
"37",2004,81
"38",2005,62
"39",2006,88
"40",2007,100
"41",2008,90
"42",2009,97
"43",2010,104
"44",2011,102
"45",2012,98
"46",2013,88
"47",2014,86
"48",2015,77
"49",2016,88
"50",2017,104
"51",2018,77
"52",2019,77
"53",2020,78
"54",2021,91
"55",2022,78
