PHARE DE L'ÎLE DES ŒUFS:MOYENNES MENSUELLES DE LA SALINITÉ (USP) DE LA SURFACE DE LA MER,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE
1970,999.99,999.99,30.81,30.54,29.44,28.28,29.87,29.49,30.79,31.37,31.7,31.79
1971,31.34,30.55,31.25,31.13,30.12,30.03,28.15,29.87,29.23,30.76,31.16,31.38
1972,31.76,32.06,31.1,30.51,29.55,28.93,29.55,29.66,31.66,32.21,31.81,31.96
1973,31.47,31.36,31.44,30.77,30.14,29.57,28.56,29.51,31.06,30.62,31.81,31.56
1974,31.07,31.2,31.16,30.74,29.76,28.65,27.89,29.02,30.42,30.06,31.57,31.71
1975,31.59,31.89,31.56,31.38,30.4,28.85,29.29,30.23,31.04,31.58,30.49,30.43
1976,30.72,30.59,30.74,30.74,30.08,23.95,27.91,27.17,29.64,30.17,30.84,30.45
1977,30.75,30.68,30.75,31.34,30.78,31.01,28.38,29.64,31.14,31.42,30.87,30.54
1978,30.49,30.43,31.01,30.83,30.49,29.88,30.01,30.37,31,30.17,30.37,31.23
1979,31.87,31.78,31.3,30.89,29.81,27.67,29.44,29.9,31.23,31.16,31.84,31.6
1980,31.42,32.11,31.25,31.46,30.35,29.31,27.65,30.13,30.67,31.4,31.49,30.63
1981,30.69,30.61,30.85,30.56,29.45,29.09,28.99,30.92,31.47,31.34,31.4,31.71
1982,30.93,31.13,31.63,31.68,31.1,28.08,29.27,30.5,31.03,31.66,31.71,31.22
1983,31.12,31.13,30.75,30.53,30.43,28.9,28.82,29.81,30.77,31.77,31.45,31.34
1984,31.14,30.91,30.92,30.73,30.24,28.29,26.46,29.15,30.77,31.35,31.65,31.37
1985,32.25,31.53,31.09,31.36,30.29,28.94,28.79,31.39,31.62,31.77,31.43,31.87
1986,31.74,31.43,31.23,30.59,30.62,28.54,29.25,29.61,30.73,31.48,31.29,31.55
1987,31.16,30.74,30.86,30.89,30.74,29.6,29.63,30.71,31.43,30.99,31.59,31.23
1988,31.11,31.34,31.29,31.52,31.25,29.87,29.3,29.86,31.15,31.63,31.63,31.04
1989,31.3,31.33,31.59,31.32,30.17,30.98,30.96,30.85,31.95,31.99,31.37,31.44
1990,31.32,31.46,31.43,31,30.46,30.55,30.46,30.89,31.67,31.5,30.93,30.74
1991,31.49,31,30.87,31.06,30.66,29.73,29.96,30.74,30.76,31.65,30.42,30.77
1992,29.58,30.19,30.39,30.34,30.19,29.56,30.39,31.31,31.18,31.16,30.92,30.01
