PHARE DE L'ÎLE DE LANGARA: MOYENNES MENSUELLES DES TEMPÉRATURES ( C ) DE LA SURFACE DE LA MER,,,,,,,,,,,,
ANNÉE,JANVIER,FÉVRIER,MARS,AVRIL,MAI,JUIN,JUILLET,AOÛT,SEPTEMBRE,OCTOBRE,NOVEMBRE,DÉCEMBRE
1936,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,11.83,10.28,7.85
1937,6.29,5.09,6.33,7.22,8.9,9.7,11.79,11.88,999.99,999.99,999.99,999.99
1938,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1939,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99
1940,999.99,999.99,8.1,8.92,10.4,11.44,11.92,13.03,11.78,11.05,8.99,8.47
1941,7.62,7.62,7.79,8.64,9.23,10.93,12.16,11.9,11.27,10.52,9.32,8.09
1942,7.96,7.62,7.41,7.74,8.88,9.9,11.53,11.3,10.5,11.54,8.33,7.13
1943,5.84,5.92,5.6,6.81,7.67,999.99,999.99,12.72,12.08,11,9.05,8.14
1944,7.42,6.98,6.53,7.25,8.28,9.77,10.95,10.24,10.1,11.26,9.46,7.96
1945,7.57,7.07,6.92,6.98,8.45,9.5,10.95,10.96,10.44,10.27,7.28,6.45
1946,6.4,6.28,6.17,7.23,8.73,9.98,11.59,12.19,11.56,9.94,7.07,5.84
1947,4.99,4.69,6.18,7.04,8.75,10.1,11.73,11.6,11.77,10.9,8.63,7.5
1948,6.48,4.93,5.93,6.75,8.56,9.5,10.85,10.49,11.78,10,8.14,5.59
1949,5.6,4.95,5.66,6.58,8.14,9.33,10.54,12.14,11.84,10.35,9.07,6.38
1950,3.38,4.44,5.27,6.47,7.7,9.59,11.86,12.44,12,10.15,7.2,6.69
1951,6,5.78,5.12,6.33,7.74,9.13,10.31,11.85,10.82,9.83,8.39,6.49
1952,5.16,5.22,5.63,6.44,8.09,9.32,10.76,10.93,11.82,11.26,9.33,7.45
1953,4.88,6.34,6.16,7.23,8.55,9.86,11.68,12.32,12.64,10.64,8.93,7.71
1954,5.74,5.58,5.54,5.99,7.63,9.57,10.42,10.21,10.88,10.5,9.28,7.89
1955,7.37,6.76,5.7,6.5,7.46,9.03,9.7,10.83,10.31,9.74,6.87,5.65
1956,5.46,5.07,5.47,6.11,8.01,9.61,10.15,11.5,10.01,9.86,8.09,6.66
1957,5.68,5.36,5.44,6.52,8,10.01,11.48,12.24,12.94,11.04,10.08,7.3
1958,7.26,7.25,7.35,9.11,10.04,8.43,10.79,11.05,11.24,10.33,8.92,6.6
1959,5.22,5.52,6.64,7.18,8.26,9.73,11.7,11.62,11.32,10.54,8.39,8.02
1960,6.64,6.33,6.27,6.49,8.66,9.59,11.2,11.2,11.37,10.59,8.46,7.56
1961,7.11,7.02,6.86,7.34,8.88,10.71,11.44,11.37,11.71,9.64,7.92,6.66
1962,6.34,5.91,5.89,6.92,7.79,999.99,10.6,11.25,11.21,11,9.19,8
1963,7.07,7.56,7.12,7.64,9.14,10.31,11.56,11.95,13.65,11.77,8.47,7.83
1964,7.33,7.03,6.45,6.82,7.69,9.18,10.95,11.59,10.21,10.25,8.01,5.91
1965,5.56,5.71,6.07,6.94,7.71,8.91,10,11.07,10.07,10.81,8.57,7.35
1966,6.32,6.37,6.29,6.87,7.86,9.24,9.86,10.96,11.78,10.06,8.03,6.96
1967,6.41,6.3,5.87,6.69,8.19,8.93,11,12.59,13.17,10.84,8.99,7.13
1968,5.85,5.76,6.72,6.82,7.75,10.02,11.4,11.96,12.55,10.12,8.58,6.68
1969,4.97,4.94,5.39,6.51,8.03,9.43,11.16,11.31,11.44,10.6,9.04,8.29
1970,6.57,7.17,7.28,7.31,8.19,9.35,10.84,11.6,10.25,9.36,8.1,6.31
1971,5.43,5.2,5.16,6.46,7.36,9.15,10.68,12.01,11.76,8.72,7.06,6.64
1972,4.33,4.24,4.58,5.37,7.2,8.87,10.01,12.43,11.09,9.69,8.73,6.62
1973,5.9,6.21,6.4,7.04,8.07,9.36,10.61,11.64,11.65,10.23,6.84,6.62
1974,5.36,5.87,5.87,7.12,8.21,9.54,10.98,11.88,12.33,11.23,9.23,7.9
1975,6.15,5.27,5.56,6.3,7.75,8.87,10.36,11.18,11.23,10.77,7.75,5.99
1976,5.82,5.27,5.4,6.68,7.96,9.41,11.27,12.05,12.25,10.59,9.33,8.32
1977,7.58,7.72,7.19,7.36,8.42,10.4,11.73,11.53,11.9,10.88,7.62,5.95
1978,5.95,6.53,6.59,7.52,8.88,9.95,10.18,11.54,12.62,11.25,8.99,6.86
1979,5.43,4.78,6.17,7.33,8.97,10.09,12.2,12.54,13.65,11.93,9.36,7.61
1980,5.48,6.96,6.78,7.9,9.29,10.59,12.29,12.09,11.29,11.61,9.51,6.62
1981,7.95,7.55,8.02,8.06,9.95,11.96,12.95,13.31,13.7,11.08,9.26,7.23
1982,6,5.77,6.32,7.06,8.57,10.09,11.33,11.98,11.96,10.73,8.28,7.43
1983,7.26,8.05,8.32,8.87,9.74,11.18,12.68,13.26,11.94,10.96,9.31,7.8
1984,7.65,7.26,7.56,7.99,8.75,10.44,11.38,12.46,12.01,10.59,8.69,7.25
1985,7.31,6.51,6.74,7.08,7.84,9.31,10.73,10.75,10.65,10.22,7.07,6.27
1986,6.42,5.92,7.05,7.26,8.04,9.94,10.49,11.34,10.68,11.12,9.14,8.04
1987,7.85,7.64,7.37,7.94,8.53,9.89,10.3,10.38,11.84,11.14,9.95,8.21
1988,7.17,6.93,7.21,7.28,8.45,9.95,11.32,11.38,12.06,11.31,9.83,7.81
1989,6.53,5.44,5.66,6.99,8.62,9.62,11.07,11.34,11.66,11.56,8.87,8.1
1990,7.04,6.1,6.63,7.4,8.15,10.76,11.79,13.57,12.62,10.87,8.49,6.86
1991,5.89,6.25,5.82,6.59,7.82,8.78,11.01,11.86,11.97,10.32,9.51,8.07
1992,7.73,7.58,7.77,8.62,9.07,10.39,10.85,12.02,11.31,10.46,9.43,7.52
1993,6.36,6.66,7.12,8.07,9.17,10.76,11.54,11.89,10.99,11.73,9.74,8.48
1994,8.07,6.91,7.55,8.24,9.2,10.74,11.65,11.78,13.33,11.38,8.35,6.87
1995,7,7.23,6.84,7.77,9.13,10.95,11.32,11.83,13.1,11.93,8.97,7.37
1996,6.59,6.76,6.85,7.83,9.21,10.68,11.18,12.21,12.86,10.55,8.21,6.51
1997,6,6.65,6.5,7.34,8.82,10.69,12.74,13.23,14.06,10.76,9.76,9.12
1998,7.74,8.2,8.33,8.67,9.14,9.79,11.68,12.55,12.63,11.39,9.54,8.02
1999,7.21,6.49,6.82,7.33,8.07,9.3,10.18,11.51,11.88,10.53,8.84,7.58
2000,6.55,6.49,6.95,7.53,8.54,10.09,11.15,11.93,11.27,11.08,9.19,7.77
2001,7.33,6.86,6.71,7.18,8.02,9.66,10.86,11.69,12.46,10.03,8.37,7.02
2002,6.83,6.33,5.74,6.39,7.45,9.32,11.67,11.73,12.19,10.41,10.14,8.87
2003,8.22,7.86,7.03,7.73,8.96,10.15,11.93,12.22,12.72,11.7,8.89,7.75
2004,6.71,7.06,6.98,7.89,8.77,10.63,11.15,13.26,12.3,10.59,8.93,7.65
2005,6.75,6.55,7.1,7.92,9.73,10.84,12.63,13.8,12.56,11.28,9.2,8.01
2006,7.48,6.93,6.47,7.49,8.62,10.4,11.91,11.74,12.15,10.91,7.99,7.24
2007,6.39,6.46,6.24,7.19,8.34,9.72,12.18,12.62,11.88,10.31,8.55,6.67
2008,6.09,5.84,6.01,6.6,7.8,8.9,10.89,11.96,11.55,10.42,8.65,6.75
2009,5.98,5.67,5.45,6.18,7.59,8.71,10.47,11.35,12.23,9.95,8.72,6.98
2010,6.95,7.31,7.55,999.99,8.41,9.67,10.25,10.32,11.05,10.9,8.76,7.39
