YEAR,FRASER ANNUAL,FRASER FLOW YEAR
1912,2401,2360
1913,2805,2884
1914,2909,2884
1915,2263,2249
1916,2504,2450
1917,2702,2881
1918,3047,2879
1919,2627,2689
1920,3261,3275
1921,3203,3163
1922,2613,2614
1923,2583,2583
1924,2704,2716
1925,2715,2773
1926,2244,2157
1927,2604,2658
1928,2635,2542
1929,1938,2012
1930,2338,2323
1931,2356,2372
1932,2796,2795
1933,3272,3401
1934,3118,3112
1935,2726,2578
1936,2698,2671
1937,2407,2438
1938,2038,2027
1939,2823,2905
1940,2564,2518
1941,2459,2458
1942,2236,2219
1943,2318,2290
1944,2206,2237
1945,2139,2109
1946,2453,2453
1947,2666,2697
1948,3218,3196
1949,2568,2574
1950,2719,2737
1951,2374,2349
1952,2520,2518
1953,2426,2474
1954,3075,3092
1955,2811,2746
1956,2600,2709
1957,2924,2961
1958,2929,2848
1959,3226,3267
1960,3080,3075
1961,2815,2815
1962,3084,3181
1963,2875,2758
1964,3485,3513
1965,2863,2806
1966,2934,2985
1967,3150,3281
1968,3317,3159
1969,2745,2751
1970,2162,2141
1971,2821,2855
1972,3388,3350
1973,2480,2494
1974,3163,3118
1975,2647,2712
1976,3673,3715
1977,2588,2507
1978,2422,2410
1979,2302,2266
1980,2396,2613
1981,2749,2579
1982,3187,3237
1983,2553,2565
1984,2723,2632
1985,2527,2582
1986,2613,2642
1987,2355,2259
1988,2430,2436
1989,2390,2461
1990,3001,3049
1991,3022,3059
1992,2574,2411
1993,2151,2201
1994,2575,2544
1995,2443,2497
1996,2893,2871
1997,3654,3659
1998,2274,2222
1999,3458,3465
