﻿Monthly Mean Discharge (m3/s) (PARAM = 1) and Monthly Mean Water Level (m) (PARAM = 2)
 ID,PARAM,MM--YYYY,Value
08MF005,1,03--1912,485
08MF005,1,04--1912,1150
08MF005,1,05--1912,4990
08MF005,1,06--1912,6130
08MF005,1,07--1912,4780
08MF005,1,08--1912,3960
08MF005,1,09--1912,2160
08MF005,1,10--1912,1530
08MF005,1,11--1912,1060
08MF005,1,12--1912,761
08MF005,1,01--1913,516
08MF005,1,02--1913,710
08MF005,1,03--1913,570
08MF005,1,04--1913,984
08MF005,1,05--1913,2690
08MF005,1,06--1913,8280
08MF005,1,07--1913,6480
08MF005,1,08--1913,5990
08MF005,1,09--1913,3930
08MF005,1,10--1913,1760
08MF005,1,11--1913,1010
08MF005,1,12--1913,736
08MF005,1,01--1914,1050
08MF005,1,02--1914,787
08MF005,1,03--1914,906
08MF005,1,04--1914,2100
08MF005,1,05--1914,5730
08MF005,1,06--1914,7140
08MF005,1,07--1914,6530
08MF005,1,08--1914,3720
08MF005,1,09--1914,2140
08MF005,1,10--1914,1970
08MF005,1,11--1914,1760
08MF005,1,12--1914,1080
08MF005,1,01--1915,886
08MF005,1,02--1915,749
08MF005,1,03--1915,806
08MF005,1,04--1915,2510
08MF005,1,05--1915,4140
08MF005,1,06--1915,4610
08MF005,1,07--1915,5020
08MF005,1,08--1915,3700
08MF005,1,09--1915,1690
08MF005,1,10--1915,1270
08MF005,1,11--1915,1190
08MF005,1,12--1915,585
08MF005,1,01--1916,543
08MF005,1,02--1916,945
08MF005,1,03--1916,780
08MF005,1,04--1916,1280
08MF005,1,05--1916,3880
08MF005,1,06--1916,6580
08MF005,1,07--1916,6460
08MF005,1,08--1916,3930
08MF005,1,09--1916,2350
08MF005,1,10--1916,1620
08MF005,1,11--1916,1040
08MF005,1,12--1916,643
08MF005,1,01--1917,589
08MF005,1,02--1917,543
08MF005,1,03--1917,482
08MF005,1,04--1917,767
08MF005,1,05--1917,4170
08MF005,1,06--1917,7880
08MF005,1,07--1917,6510
08MF005,1,08--1917,3720
08MF005,1,09--1917,2130
08MF005,1,10--1917,2100
08MF005,1,11--1917,1940
08MF005,1,12--1917,1590
08MF005,1,01--1918,1660
08MF005,1,02--1918,1140
08MF005,1,03--1918,964
08MF005,1,04--1918,2020
08MF005,1,05--1918,5290
08MF005,1,06--1918,7970
08MF005,1,07--1918,6960
08MF005,1,08--1918,4320
08MF005,1,09--1918,2570
08MF005,1,10--1918,1650
08MF005,1,11--1918,1180
08MF005,1,12--1918,837
08MF005,1,01--1919,668
08MF005,1,02--1919,584
08MF005,1,03--1919,497
08MF005,1,04--1919,1360
08MF005,1,05--1919,4050
08MF005,1,06--1919,6470
08MF005,1,07--1919,6930
08MF005,1,08--1919,4640
08MF005,1,09--1919,2420
08MF005,1,10--1919,1430
08MF005,1,11--1919,1320
08MF005,1,12--1919,1160
08MF005,1,01--1920,1010
08MF005,1,02--1920,834
08MF005,1,03--1920,648
08MF005,1,04--1920,857
08MF005,1,05--1920,3980
08MF005,1,06--1920,7240
08MF005,1,07--1920,9600
08MF005,1,08--1920,5460
08MF005,1,09--1920,3130
08MF005,1,10--1920,3310
08MF005,1,11--1920,1860
08MF005,1,12--1920,1200
08MF005,1,01--1921,935
08MF005,1,02--1921,899
08MF005,1,03--1921,824
08MF005,1,04--1921,1580
08MF005,1,05--1921,5330
08MF005,1,06--1921,9320
08MF005,1,07--1921,6610
08MF005,1,08--1921,4230
08MF005,1,09--1921,2710
08MF005,1,10--1921,2700
08MF005,1,11--1921,1940
08MF005,1,12--1921,1360
08MF005,1,01--1922,908
08MF005,1,02--1922,677
08MF005,1,03--1922,590
08MF005,1,04--1922,848
08MF005,1,05--1922,4030
08MF005,1,06--1922,8130
08MF005,1,07--1922,5430
08MF005,1,08--1922,3450
08MF005,1,09--1922,2510
08MF005,1,10--1922,2300
08MF005,1,11--1922,1310
08MF005,1,12--1922,1170
08MF005,1,01--1923,906
08MF005,1,02--1923,674
08MF005,1,03--1923,612
08MF005,1,04--1923,1410
08MF005,1,05--1923,4830
08MF005,1,06--1923,7830
08MF005,1,07--1923,5670
08MF005,1,08--1923,3490
08MF005,1,09--1923,2500
08MF005,1,10--1923,1290
08MF005,1,11--1923,939
08MF005,1,12--1923,841
08MF005,1,01--1924,579
08MF005,1,02--1924,907
08MF005,1,03--1924,715
08MF005,1,04--1924,874
08MF005,1,05--1924,6020
08MF005,1,06--1924,6790
08MF005,1,07--1924,5060
08MF005,1,08--1924,3900
08MF005,1,09--1924,3110
08MF005,1,10--1924,1950
08MF005,1,11--1924,1310
08MF005,1,12--1924,1230
08MF005,1,01--1925,869
08MF005,1,02--1925,780
08MF005,1,03--1925,702
08MF005,1,04--1925,2230
08MF005,1,05--1925,7060
08MF005,1,06--1925,7020
08MF005,1,07--1925,4810
08MF005,1,08--1925,3020
08MF005,1,09--1925,2360
08MF005,1,10--1925,1140
08MF005,1,11--1925,894
08MF005,1,12--1925,1700
08MF005,1,01--1926,1240
08MF005,1,02--1926,857
08MF005,1,03--1926,939
08MF005,1,04--1926,2710
08MF005,1,05--1926,4810
08MF005,1,06--1926,4390
08MF005,1,07--1926,4300
08MF005,1,08--1926,2500
08MF005,1,09--1926,1580
08MF005,1,10--1926,1450
08MF005,1,11--1926,1270
08MF005,1,12--1926,882
08MF005,1,01--1927,787
08MF005,1,02--1927,633
08MF005,1,03--1927,573
08MF005,1,04--1927,896
08MF005,1,05--1927,3320
08MF005,1,06--1927,7360
08MF005,1,07--1927,5880
08MF005,1,08--1927,3610
08MF005,1,09--1927,2510
08MF005,1,10--1927,2920
08MF005,1,11--1927,1730
08MF005,1,12--1927,1030
08MF005,1,01--1928,1050
08MF005,1,02--1928,781
08MF005,1,03--1928,810
08MF005,1,04--1928,1550
08MF005,1,05--1928,6470
08MF005,1,06--1928,7440
08MF005,1,07--1928,5810
08MF005,1,08--1928,3230
08MF005,1,09--1928,1780
08MF005,1,10--1928,1300
08MF005,1,11--1928,860
08MF005,1,12--1928,540
08MF005,1,01--1929,520
08MF005,1,02--1929,497
08MF005,1,03--1929,505
08MF005,1,04--1929,676
08MF005,1,05--1929,2750
08MF005,1,06--1929,6180
08MF005,1,07--1929,4150
08MF005,1,08--1929,2970
08MF005,1,09--1929,1890
08MF005,1,10--1929,1340
08MF005,1,11--1929,986
08MF005,1,12--1929,793
08MF005,1,01--1930,975
08MF005,1,02--1930,799
08MF005,1,03--1930,635
08MF005,1,04--1930,1810
08MF005,1,05--1930,3510
08MF005,1,06--1930,6220
08MF005,1,07--1930,5370
08MF005,1,08--1930,3130
08MF005,1,09--1930,2180
08MF005,1,10--1930,1430
08MF005,1,11--1930,1160
08MF005,1,12--1930,840
08MF005,1,01--1931,772
08MF005,1,02--1931,709
08MF005,1,03--1931,750
08MF005,1,04--1931,1120
08MF005,1,05--1931,4280
08MF005,1,06--1931,6100
08MF005,1,07--1931,5210
08MF005,1,08--1931,2950
08MF005,1,09--1931,2180
08MF005,1,10--1931,1950
08MF005,1,11--1931,1380
08MF005,1,12--1931,871
08MF005,1,01--1932,721
08MF005,1,02--1932,772
08MF005,1,03--1932,935
08MF005,1,04--1932,2120
08MF005,1,05--1932,5470
08MF005,1,06--1932,7160
08MF005,1,07--1932,5160
08MF005,1,08--1932,3920
08MF005,1,09--1932,2370
08MF005,1,10--1932,1690
08MF005,1,11--1932,1790
08MF005,1,12--1932,1440
08MF005,1,01--1933,989
08MF005,1,02--1933,754
08MF005,1,03--1933,675
08MF005,1,04--1933,1250
08MF005,1,05--1933,5090
08MF005,1,06--1933,7940
08MF005,1,07--1933,7950
08MF005,1,08--1933,5160
08MF005,1,09--1933,2850
08MF005,1,10--1933,2070
08MF005,1,11--1933,2820
08MF005,1,12--1933,1710
08MF005,1,01--1934,1350
08MF005,1,02--1934,1370
08MF005,1,03--1934,1250
08MF005,1,04--1934,3380
08MF005,1,05--1934,6510
08MF005,1,06--1934,6570
08MF005,1,07--1934,4730
08MF005,1,08--1934,3480
08MF005,1,09--1934,2610
08MF005,1,10--1934,2420
08MF005,1,11--1934,2400
08MF005,1,12--1934,1350
08MF005,1,01--1935,1240
08MF005,1,02--1935,1560
08MF005,1,03--1935,1090
08MF005,1,04--1935,1220
08MF005,1,05--1935,4600
08MF005,1,06--1935,7010
08MF005,1,07--1935,6340
08MF005,1,08--1935,3540
08MF005,1,09--1935,2260
08MF005,1,10--1935,1570
08MF005,1,11--1935,1250
08MF005,1,12--1935,1030
08MF005,1,01--1936,752
08MF005,1,02--1936,696
08MF005,1,03--1936,662
08MF005,1,04--1936,1680
08MF005,1,05--1936,6060
08MF005,1,06--1936,7170
08MF005,1,07--1936,4930
08MF005,1,08--1936,2970
08MF005,1,09--1936,2150
08MF005,1,10--1936,2050
08MF005,1,11--1936,1900
08MF005,1,12--1936,1360
08MF005,1,01--1937,618
08MF005,1,02--1937,528
08MF005,1,03--1937,637
08MF005,1,04--1937,1340
08MF005,1,05--1937,3880
08MF005,1,06--1937,6730
08MF005,1,07--1937,5090
08MF005,1,08--1937,3180
08MF005,1,09--1937,2450
08MF005,1,10--1937,1660
08MF005,1,11--1937,1760
08MF005,1,12--1937,1010
08MF005,1,01--1938,823
08MF005,1,02--1938,633
08MF005,1,03--1938,701
08MF005,1,04--1938,1380
08MF005,1,05--1938,3690
08MF005,1,06--1938,5590
08MF005,1,07--1938,4170
08MF005,1,08--1938,2380
08MF005,1,09--1938,2060
08MF005,1,10--1938,1380
08MF005,1,11--1938,910
08MF005,1,12--1938,744
08MF005,1,01--1939,728
08MF005,1,02--1939,579
08MF005,1,03--1939,714
08MF005,1,04--1939,2130
08MF005,1,05--1939,5740
08MF005,1,06--1939,6340
08MF005,1,07--1939,5400
08MF005,1,08--1939,3460
08MF005,1,09--1939,2220
08MF005,1,10--1939,2100
08MF005,1,11--1939,2050
08MF005,1,12--1939,2420
08MF005,1,01--1940,1110
08MF005,1,02--1940,909
08MF005,1,03--1940,976
08MF005,1,04--1940,2360
08MF005,1,05--1940,4860
08MF005,1,06--1940,5900
08MF005,1,07--1940,4880
08MF005,1,08--1940,3380
08MF005,1,09--1940,2380
08MF005,1,10--1940,1870
08MF005,1,11--1940,1230
08MF005,1,12--1940,917
08MF005,1,01--1941,809
08MF005,1,02--1941,791
08MF005,1,03--1941,842
08MF005,1,04--1941,2370
08MF005,1,05--1941,3530
08MF005,1,06--1941,4580
08MF005,1,07--1941,3960
08MF005,1,08--1941,2670
08MF005,1,09--1941,2630
08MF005,1,10--1941,3410
08MF005,1,11--1941,2230
08MF005,1,12--1941,1690
08MF005,1,01--1942,983
08MF005,1,02--1942,776
08MF005,1,03--1942,665
08MF005,1,04--1942,1350
08MF005,1,05--1942,3550
08MF005,1,06--1942,6040
08MF005,1,07--1942,4770
